institution_name,PARTIC_MEN,PARTIC_WOMEN,REV_MEN,REV_WOMEN,Sports,Basketball Women,Track and Field Women,Volleyball Women,Soccer Women,Softball Women,Sports
University of North Carolina Wilmington,36.0,82.0,188746.0,211697.0,All Track Combined,,,,,,
University of North Carolina Wilmington,9.0,8.0,265379.0,291368.0,Golf,,,,,,
University of North Carolina Wilmington,29.0,27.0,538135.0,503229.0,Soccer,,,,,,
University of North Carolina Wilmington,,28.0,,425599.0,Softball,,,,,,
University of North Carolina Wilmington,20.0,25.0,201918.0,212875.0,Swimming and Diving,,,,,,
University of North Carolina Wilmington,12.0,13.0,274864.0,346465.0,Tennis,,,,,,
University of North Carolina Wilmington,,19.0,,430372.0,Volleyball,,,,,,
University of North Carolina Wilmington,,17.0,,134272.0,Beach Volleyball,,,,,,
William Peace University,49.0,,126349.0,,Baseball,,,,,,
William Peace University,19.0,17.0,98500.0,84468.0,Basketball,,,,,,
William Peace University,21.0,13.0,123574.0,100919.0,Lacrosse,,,,,,
William Peace University,33.0,23.0,92090.0,74206.0,Soccer,,,,,,
William Peace University,,35.0,,105137.0,Softball,,,,,,
William Peace University,9.0,9.0,40701.0,42979.0,Swimming,,,,,,
William Peace University,6.0,5.0,22501.0,22756.0,Tennis,,,,,,
William Peace University,21.0,14.0,40580.0,40580.0,"Track and Field, Outdoor",,,,,,
William Peace University,10.0,8.0,24160.0,24160.0,"Track and Field, X-Country",,,,,,
William Peace University,,19.0,,87291.0,Volleyball,,,,,,
University of North Carolina at Pembroke,40.0,,294200.0,,Baseball,,,,,,
